People,Percent
2,0.0
3,0.01
4,0.0
5,0.06
6,0.02
7,0.06
8,0.1
9,0.15
10,0.11
11,0.2
12,0.18
13,0.17
14,0.19
15,0.28
16,0.24
17,0.24
18,0.38
19,0.5
20,0.36
21,0.5
22,0.48
23,0.49
24,0.58
25,0.65
26,0.68
27,0.65
28,0.56
29,0.69
30,0.74
31,0.74
32,0.81
33,0.78
34,0.71
35,0.84
36,0.82
37,0.85
38,0.9
39,0.88
40,0.89
41,0.92
42,0.9
43,0.92
44,0.98
45,0.95
46,0.97
47,0.97
48,0.96
49,0.93
50,0.97
51,0.98
52,0.98
53,0.96
54,0.97
55,0.98
56,0.98
57,1.0
58,0.99
59,1.0
60,0.98
61,0.99
62,1.0
63,1.0
64,0.99
65,0.99
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
